"client_id";"last_purchase_date";"recency_days";"frequency";"monetary";"r_score";"f_score";"m_score";"rfm_code";"segment"
"2000200212485";2022-05-26;15;6;4690;5;5;5;"555";Champions
"2000200186694";2022-06-02;8;12;4656;5;5;5;"555";Champions
"2000200239970";2022-05-30;11;7;4619;5;5;5;"555";Champions
"2000200177128";2022-06-01;9;9;4591;5;5;5;"555";Champions
"2000200163312";2022-06-03;7;9;4553;5;5;5;"555";Champions
"2000200211099";2022-05-20;21;5;4505;5;5;5;"555";Champions
"2000200227977";2022-05-26;15;6;4501;5;5;5;"555";Champions
"2000200185581";2022-06-05;5;7;4488;5;5;5;"555";Champions
"2000200219217";2022-05-29;12;7;4479;5;5;5;"555";Champions
"2000200179429";2022-05-30;11;5;4446;5;5;5;"555";Champions
"2000200193197";2022-05-23;18;5;4413;5;5;5;"555";Champions
"2000200197379";2022-06-08;2;6;4408;5;5;5;"555";Champions
"2000200232384";2022-05-22;19;11;4397;5;5;5;"555";Champions
"2000200223115";2022-05-31;10;8;4381;5;5;5;"555";Champions
"2000200188117";2022-05-19;22;7;4359;5;5;5;"555";Champions
"2000200182474";2022-05-28;13;6;4335;5;5;5;"555";Champions
"2000200153122";2022-05-20;21;10;4323;5;5;5;"555";Champions
"2000200230557";2022-06-05;5;9;4286;5;5;5;"555";Champions
"2000200182283";2022-05-27;14;9;4282;5;5;5;"555";Champions
"2000200173663";2022-06-09;1;13;4264;5;5;5;"555";Champions
"2000200183631";2022-05-28;13;8;4256;5;5;5;"555";Champions
"2000200190349";2022-05-19;22;7;4208;5;5;5;"555";Champions
"2000200170662";2022-05-27;14;7;4165;5;5;5;"555";Champions
"2000200213994";2022-06-05;5;7;4132;5;5;5;"555";Champions
"2000200159391";2022-05-24;17;10;4127;5;5;5;"555";Champions
"2000200150398";2022-06-02;8;5;4118;5;5;5;"555";Champions
"2000200172895";2022-06-02;8;7;4116;5;5;5;"555";Champions
"2000200236085";2022-05-26;15;5;4108;5;5;5;"555";Champions
"2000200201281";2022-06-06;4;6;4078;5;5;4;"554";Champions
"2000200224617";2022-06-09;1;8;4038;5;5;4;"554";Champions
"2000200226499";2022-05-31;10;11;4017;5;5;4;"554";Champions
"2000200189923";2022-05-23;18;5;3997;5;5;4;"554";Champions
"2000200196754";2022-06-02;8;8;3966;5;5;4;"554";Champions
"2000200203841";2022-05-31;10;7;3962;5;5;4;"554";Champions
